
Quadro extraído em 15 de Janeiro de 2025 (22:47:02)
http://www.ine.pt



Período de referência dos dados;Consumo individual por objetivo;Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal;
;Habitação, água, electricidade, gás e outros combustíveis;4,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;0,5;
;Transportes;7,4;
;Comunicações;-0,8;
;Lazer, recreação e cultura;1,2;
;Educação;6,4;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;2,4;
Abril de 2006;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;0,2;
;Bebidas alcoólicas e tabaco;6,6;
;Vestuário e calçado;-0,7;
;Habitação, água, electricidade, gás e outros combustíveis;4,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;0,5;
;Transportes;7;
;Comunicações;-0,7;
;Lazer, recreação e cultura;1,3;
;Educação;6,5;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;2,3;
Março de 2006;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;0;
;Bebidas alcoólicas e tabaco;6,2;
;Vestuário e calçado;-1,3;
;Habitação, água, electricidade, gás e outros combustíveis;4,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;0,6;
;Transportes;6,8;
;Comunicações;-0,5;
;Lazer, recreação e cultura;1,3;
;Educação;6,6;
;Restaurantes e hotéis;1,3;
;Bens e serviços diversos;2,2;
Fevereiro de 2006;Total;2,3;
;Produtos alimentares e bebidas não alcoólicas;-0,2;
;Bebidas alcoólicas e tabaco;5,8;
;Vestuário e calçado;-2,3;
;Habitação, água, electricidade, gás e outros combustíveis;4,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,2;
;Saúde;0,6;
;Transportes;6,5;
;Comunicações;-0,3;
;Lazer, recreação e cultura;1,5;
;Educação;6,7;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;2,1;
Janeiro de 2006;Total;2,2;
;Produtos alimentares e bebidas não alcoólicas;-0,4;
;Bebidas alcoólicas e tabaco;5,4;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;4,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;0,7;
;Transportes;6,1;
;Comunicações;-0,2;
;Lazer, recreação e cultura;1,5;
;Educação;6,8;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;2,1;
Dezembro de 2005;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;-0,6;
;Bebidas alcoólicas e tabaco;4,5;
;Vestuário e calçado;-1,1;
;Habitação, água, electricidade, gás e outros combustíveis;4,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;0,8;
;Transportes;5,8;
;Comunicações;-0,2;
;Lazer, recreação e cultura;1,6;
;Educação;7;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;2,2;
Novembro de 2005;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;-0,7;
;Bebidas alcoólicas e tabaco;4,3;
;Vestuário e calçado;-1,2;
;Habitação, água, electricidade, gás e outros combustíveis;4,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;1;
;Transportes;5,8;
;Comunicações;-0,1;
;Lazer, recreação e cultura;1,7;
;Educação;6,9;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;2,2;
Outubro de 2005;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;-0,8;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;-1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;1,2;
;Transportes;5,8;
;Comunicações;0;
;Lazer, recreação e cultura;1,8;
;Educação;6,7;
;Restaurantes e hotéis;1,8;
;Bens e serviços diversos;2,2;
Setembro de 2005;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;-0,7;
;Bebidas alcoólicas e tabaco;3,9;
;Vestuário e calçado;-1,7;
;Habitação, água, electricidade, gás e outros combustíveis;4,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;1,3;
;Transportes;5,6;
;Comunicações;0,1;
;Lazer, recreação e cultura;1,9;
;Educação;6,4;
;Restaurantes e hotéis;2;
;Bens e serviços diversos;2,2;
Agosto de 2005;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;-0,7;
;Bebidas alcoólicas e tabaco;3,7;
;Vestuário e calçado;-2,1;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;1,4;
;Transportes;5,2;
;Comunicações;0;
;Lazer, recreação e cultura;2,1;
;Educação;6,7;
;Restaurantes e hotéis;2,2;
;Bens e serviços diversos;2,3;
Julho de 2005;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;-0,6;
;Bebidas alcoólicas e tabaco;3,5;
;Vestuário e calçado;-2,4;
;Habitação, água, electricidade, gás e outros combustíveis;4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,4;
;Saúde;1,4;
;Transportes;5;
;Comunicações;0;
;Lazer, recreação e cultura;2,2;
;Educação;7;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;2,3;
Junho de 2005;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;-0,2;
;Bebidas alcoólicas e tabaco;3,4;
;Vestuário e calçado;-2,3;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,4;
;Saúde;1,5;
;Transportes;4,8;
;Comunicações;0;
;Lazer, recreação e cultura;2,2;
;Educação;7,3;
;Restaurantes e hotéis;2,8;
;Bens e serviços diversos;2,3;
Maio de 2005;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;0;
;Bebidas alcoólicas e tabaco;3,2;
;Vestuário e calçado;-2,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;1,5;
;Transportes;4,7;
;Comunicações;0;
;Lazer, recreação e cultura;2,3;
;Educação;7,7;
;Restaurantes e hotéis;4,1;
;Bens e serviços diversos;2,4;
Abril de 2005;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;0,3;
;Bebidas alcoólicas e tabaco;3,1;
;Vestuário e calçado;-1,8;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;1,6;
;Transportes;4,6;
;Comunicações;-0,4;
;Lazer, recreação e cultura;2,3;
;Educação;8;
;Restaurantes e hotéis;4,4;
;Bens e serviços diversos;2,5;
Março de 2005;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;-1,7;
;Habitação, água, electricidade, gás e outros combustíveis;3,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;1,6;
;Transportes;4,3;
;Comunicações;-0,7;
;Lazer, recreação e cultura;2,3;
;Educação;8,3;
;Restaurantes e hotéis;4,6;
;Bens e serviços diversos;2,5;
Fevereiro de 2005;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;0,8;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;-1,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;1,7;
;Transportes;4,1;
;Comunicações;-1;
;Lazer, recreação e cultura;2,2;
;Educação;8,7;
;Restaurantes e hotéis;4,7;
;Bens e serviços diversos;2,6;
Janeiro de 2005;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;0,9;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-1,3;
;Habitação, água, electricidade, gás e outros combustíveis;3,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;1,7;
;Transportes;3,8;
;Comunicações;-1;
;Lazer, recreação e cultura;2,2;
;Educação;9;
;Restaurantes e hotéis;4,8;
;Bens e serviços diversos;2,6;
Dezembro de 2004;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-1,1;
;Habitação, água, electricidade, gás e outros combustíveis;3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;1,7;
;Transportes;3,6;
;Comunicações;-1;
;Lazer, recreação e cultura;2,1;
;Educação;9,4;
;Restaurantes e hotéis;5;
;Bens e serviços diversos;2,6;
Novembro de 2004;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;1,3;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;-0,8;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;1,7;
;Transportes;3,2;
;Comunicações;-1,2;
;Lazer, recreação e cultura;2;
;Educação;9,9;
;Restaurantes e hotéis;4,9;
;Bens e serviços diversos;2,6;
Outubro de 2004;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;1,5;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;-0,4;
;Habitação, água, electricidade, gás e outros combustíveis;2,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,7;
;Saúde;1,7;
;Transportes;2,9;
;Comunicações;-1,3;
;Lazer, recreação e cultura;1,8;
;Educação;10,4;
;Restaurantes e hotéis;4,9;
;Bens e serviços diversos;2,7;
Setembro de 2004;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;1,8;
;Bebidas alcoólicas e tabaco;3,1;
;Vestuário e calçado;0;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,7;
;Saúde;1,6;
;Transportes;2,7;
;Comunicações;-1,5;
;Lazer, recreação e cultura;1,7;
;Educação;11,1;
;Restaurantes e hotéis;4,8;
;Bens e serviços diversos;2,7;
Agosto de 2004;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;0,4;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,8;
;Saúde;1,6;
;Transportes;2,6;
;Comunicações;-1,6;
;Lazer, recreação e cultura;1,7;
;Educação;10,7;
;Restaurantes e hotéis;4,9;
;Bens e serviços diversos;2,8;
Julho de 2004;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;0,9;
;Habitação, água, electricidade, gás e outros combustíveis;3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,8;
;Saúde;1,5;
;Transportes;2,4;
;Comunicações;-1,6;
;Lazer, recreação e cultura;1,6;
;Educação;10,2;
;Restaurantes e hotéis;4,9;
;Bens e serviços diversos;2,9;
Junho de 2004;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;3,5;
;Vestuário e calçado;1;
;Habitação, água, electricidade, gás e outros combustíveis;3,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;1,6;
;Transportes;2,4;
;Comunicações;-1,7;
;Lazer, recreação e cultura;1,5;
;Educação;9,7;
;Restaurantes e hotéis;4,9;
;Bens e serviços diversos;3;
Maio de 2004;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;3,7;
;Vestuário e calçado;1;
;Habitação, água, electricidade, gás e outros combustíveis;3,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;1,6;
;Transportes;2,4;
;Comunicações;-1,7;
;Lazer, recreação e cultura;1,4;
;Educação;9,2;
;Restaurantes e hotéis;4,4;
;Bens e serviços diversos;3,1;
Abril de 2004;Total;2,7;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;3,8;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,1;
;Saúde;1,7;
;Transportes;2,6;
;Comunicações;-1,4;
;Lazer, recreação e cultura;1,4;
;Educação;8,7;
;Restaurantes e hotéis;4,5;
;Bens e serviços diversos;3,2;
Março de 2004;Total;2,8;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;3,9;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,1;
;Saúde;1,8;
;Transportes;3;
;Comunicações;-1,3;
;Lazer, recreação e cultura;1,3;
;Educação;8,2;
;Restaurantes e hotéis;4,6;
;Bens e serviços diversos;3,3;
Fevereiro de 2004;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;4,3;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;1,9;
;Transportes;3,4;
;Comunicações;-1,2;
;Lazer, recreação e cultura;1,2;
;Educação;7,7;
;Restaurantes e hotéis;4,7;
;Bens e serviços diversos;3,5;
Janeiro de 2004;Total;3,1;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;4,6;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;4,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,3;
;Saúde;2,1;
;Transportes;3,9;
;Comunicações;-1,2;
;Lazer, recreação e cultura;1,1;
;Educação;7,1;
;Restaurantes e hotéis;4,9;
;Bens e serviços diversos;3,7;
Dezembro de 2003;Total;3,2;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;4,7;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,4;
;Saúde;2,3;
;Transportes;4,3;
;Comunicações;-1,1;
;Lazer, recreação e cultura;1,2;
;Educação;6,6;
;Restaurantes e hotéis;5,1;
;Bens e serviços diversos;4;
Novembro de 2003;Total;3,4;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;4,8;
;Vestuário e calçado;1,2;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,5;
;Saúde;2,5;
;Transportes;4,7;
;Comunicações;-0,8;
;Lazer, recreação e cultura;1,4;
;Educação;6;
;Restaurantes e hotéis;5,3;
;Bens e serviços diversos;4,2;
Outubro de 2003;Total;3,5;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;5;
;Vestuário e calçado;1,3;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,6;
;Saúde;2,8;
;Transportes;5,1;
;Comunicações;-0,5;
;Lazer, recreação e cultura;1,6;
;Educação;5,5;
;Restaurantes e hotéis;5,5;
;Bens e serviços diversos;4,4;
Setembro de 2003;Total;3,6;
;Produtos alimentares e bebidas não alcoólicas;1,9;
;Bebidas alcoólicas e tabaco;5,1;
;Vestuário e calçado;1,3;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,7;
;Saúde;3,1;
;Transportes;5,4;
;Comunicações;-0,2;
;Lazer, recreação e cultura;1,8;
;Educação;4,9;
;Restaurantes e hotéis;5,8;
;Bens e serviços diversos;4,6;
Agosto de 2003;Total;3,7;
;Produtos alimentares e bebidas não alcoólicas;1,7;
;Bebidas alcoólicas e tabaco;5,3;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,8;
;Saúde;3,4;
;Transportes;5,6;
;Comunicações;0,1;
;Lazer, recreação e cultura;1,9;
;Educação;5;
;Restaurantes e hotéis;5,8;
;Bens e serviços diversos;4,8;
Julho de 2003;Total;3,8;
;Produtos alimentares e bebidas não alcoólicas;1,5;
;Bebidas alcoólicas e tabaco;5,4;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,9;
;Saúde;3,6;
;Transportes;5,9;
;Comunicações;0,4;
;Lazer, recreação e cultura;2,1;
;Educação;5,1;
;Restaurantes e hotéis;5,9;
;Bens e serviços diversos;5;
Junho de 2003;Total;3,8;
;Produtos alimentares e bebidas não alcoólicas;1,3;
;Bebidas alcoólicas e tabaco;5,4;
;Vestuário e calçado;1,6;
;Habitação, água, electricidade, gás e outros combustíveis;4,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,9;
;Saúde;3,9;
;Transportes;6,1;
;Comunicações;0,6;
;Lazer, recreação e cultura;2,3;
;Educação;5,2;
;Restaurantes e hotéis;5,9;
;Bens e serviços diversos;5,1;
Maio de 2003;Total;3,8;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;5,3;
;Vestuário e calçado;1,8;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,9;
;Saúde;4,1;
;Transportes;6,2;
;Comunicações;0,9;
;Lazer, recreação e cultura;2,4;
;Educação;5,3;
;Restaurantes e hotéis;5,9;
;Bens e serviços diversos;5,2;
Abril de 2003;Total;3,8;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;5,3;
;Vestuário e calçado;1,9;
;Habitação, água, electricidade, gás e outros combustíveis;3,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,9;
;Saúde;4,3;
;Transportes;6,2;
;Comunicações;0,8;
;Lazer, recreação e cultura;2,5;
;Educação;5,4;
;Restaurantes e hotéis;5,9;
;Bens e serviços diversos;5,3;
Março de 2003;Total;3,8;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;5,4;
;Vestuário e calçado;2,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,9;
;Saúde;4,5;
;Transportes;5,9;
;Comunicações;0,9;
;Lazer, recreação e cultura;2,6;
;Educação;5,5;
;Restaurantes e hotéis;5,9;
;Bens e serviços diversos;5,4;
Fevereiro de 2003;Total;3,8;
;Produtos alimentares e bebidas não alcoólicas;1,1;
;Bebidas alcoólicas e tabaco;5,2;
;Vestuário e calçado;2,3;
;Habitação, água, electricidade, gás e outros combustíveis;3,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3;
;Saúde;4,7;
;Transportes;5,6;
;Comunicações;0,9;
;Lazer, recreação e cultura;2,8;
;Educação;5,6;
;Restaurantes e hotéis;5,9;
;Bens e serviços diversos;5,4;
Janeiro de 2003;Total;3,7;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;4,9;
;Vestuário e calçado;2,4;
;Habitação, água, electricidade, gás e outros combustíveis;3,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3;
;Saúde;4,8;
;Transportes;5,3;
;Comunicações;0,9;
;Lazer, recreação e cultura;2,9;
;Educação;5,7;
;Restaurantes e hotéis;5,7;
;Bens e serviços diversos;5,4;
Dezembro de 2002;Total;3,7;
;Produtos alimentares e bebidas não alcoólicas;1,5;
;Bebidas alcoólicas e tabaco;4,9;
;Vestuário e calçado;2,5;
;Habitação, água, electricidade, gás e outros combustíveis;3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3;
;Saúde;4,9;
;Transportes;5;
;Comunicações;0,8;
;Lazer, recreação e cultura;2,9;
;Educação;5,9;
;Restaurantes e hotéis;5,6;
;Bens e serviços diversos;5,4;
Novembro de 2002;Total;3,7;
;Produtos alimentares e bebidas não alcoólicas;1,7;
;Bebidas alcoólicas e tabaco;4,7;
;Vestuário e calçado;2,5;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,1;
;Saúde;4,8;
;Transportes;4,8;
;Comunicações;0,5;
;Lazer, recreação e cultura;2,8;
;Educação;6;
;Restaurantes e hotéis;5,4;
;Bens e serviços diversos;5,3;
Outubro de 2002;Total;3,7;
;Produtos alimentares e bebidas não alcoólicas;2;
;Bebidas alcoólicas e tabaco;4,6;
;Vestuário e calçado;2,6;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,1;
;Saúde;4,8;
;Transportes;4,7;
;Comunicações;0,2;
;Lazer, recreação e cultura;2,7;
;Educação;6;
;Restaurantes e hotéis;5,4;
;Bens e serviços diversos;5,3;
Setembro de 2002;Total;3,7;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;4,5;
;Vestuário e calçado;2,6;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,1;
;Saúde;4,7;
;Transportes;4,5;
;Comunicações;-0,1;
;Lazer, recreação e cultura;2,5;
;Educação;6,1;
;Restaurantes e hotéis;5,3;
;Bens e serviços diversos;5,3;
Agosto de 2002;Total;3,7;
;Produtos alimentares e bebidas não alcoólicas;2,8;
;Bebidas alcoólicas e tabaco;4,4;
;Vestuário e calçado;2,6;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,1;
;Saúde;4,6;
;Transportes;4,4;
;Comunicações;-0,5;
;Lazer, recreação e cultura;2,4;
;Educação;6;
;Restaurantes e hotéis;5,1;
;Bens e serviços diversos;5,3;
Julho de 2002;Total;3,7;
;Produtos alimentares e bebidas não alcoólicas;3,2;
;Bebidas alcoólicas e tabaco;4,3;
;Vestuário e calçado;2,5;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,1;
;Saúde;4,5;
;Transportes;4,3;
;Comunicações;-0,8;
;Lazer, recreação e cultura;2,4;
;Educação;5,9;
;Restaurantes e hotéis;4,9;
;Bens e serviços diversos;5,3;
Junho de 2002;Total;3,8;
;Produtos alimentares e bebidas não alcoólicas;3,8;
;Bebidas alcoólicas e tabaco;4,2;
;Vestuário e calçado;2,3;
;Habitação, água, electricidade, gás e outros combustíveis;3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,2;
;Saúde;4,4;
;Transportes;4,1;
;Comunicações;-1,2;
;Lazer, recreação e cultura;2,3;
;Educação;5,8;
;Restaurantes e hotéis;4,8;
;Bens e serviços diversos;5,3;
Maio de 2002;Total;3,9;
;Produtos alimentares e bebidas não alcoólicas;4,4;
;Bebidas alcoólicas e tabaco;4,3;
;Vestuário e calçado;2,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,2;
;Saúde;4,3;
;Transportes;4,1;
;Comunicações;-1,5;
;Lazer, recreação e cultura;2,4;
;Educação;5,7;
;Restaurantes e hotéis;4,6;
;Bens e serviços diversos;5,3;
Abril de 2002;Total;4;
;Produtos alimentares e bebidas não alcoólicas;5,1;
;Bebidas alcoólicas e tabaco;4,4;
;Vestuário e calçado;1,9;
;Habitação, água, electricidade, gás e outros combustíveis;3,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,2;
;Saúde;4,2;
;Transportes;4;
;Comunicações;-1,7;
;Lazer, recreação e cultura;2,5;
;Educação;5,6;
;Restaurantes e hotéis;4,6;
;Bens e serviços diversos;5,4;
Março de 2002;Total;4,1;
;Produtos alimentares e bebidas não alcoólicas;5,5;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;1,7;
;Habitação, água, electricidade, gás e outros combustíveis;3,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,2;
;Saúde;4,1;
;Transportes;4;
;Comunicações;-1,9;
;Lazer, recreação e cultura;2,5;
;Educação;5,5;
;Restaurantes e hotéis;4,5;
;Bens e serviços diversos;5,4;
Fevereiro de 2002;Total;4,2;
;Produtos alimentares e bebidas não alcoólicas;6;
;Bebidas alcoólicas e tabaco;3,8;
;Vestuário e calçado;1,6;
;Habitação, água, electricidade, gás e outros combustíveis;3,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,2;
;Saúde;3,9;
;Transportes;4,3;
;Comunicações;-2,1;
;Lazer, recreação e cultura;2,6;
;Educação;5,4;
;Restaurantes e hotéis;4,4;
;Bens e serviços diversos;5,4;
Janeiro de 2002;Total;4,3;
;Produtos alimentares e bebidas não alcoólicas;6,4;
;Bebidas alcoólicas e tabaco;3,5;
;Vestuário e calçado;1,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,2;
;Saúde;3,8;
;Transportes;4,6;
;Comunicações;-2,3;
;Lazer, recreação e cultura;2,6;
;Educação;5,3;
;Restaurantes e hotéis;4,5;
;Bens e serviços diversos;5,4;
Dezembro de 2001;Total;4,4;
;Produtos alimentares e bebidas não alcoólicas;6,5;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;1,5;
;Habitação, água, electricidade, gás e outros combustíveis;4,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,2;
;Saúde;3,6;
;Transportes;4,8;
;Comunicações;-2,2;
;Lazer, recreação e cultura;2,7;
;Educação;5,2;
;Restaurantes e hotéis;4,4;
;Bens e serviços diversos;5,4;
Novembro de 2001;Total;4,4;
;Produtos alimentares e bebidas não alcoólicas;6,5;
;Bebidas alcoólicas e tabaco;3,1;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,1;
;Saúde;3,5;
;Transportes;4,9;
;Comunicações;-2,5;
;Lazer, recreação e cultura;2,7;
;Educação;5,1;
;Restaurantes e hotéis;4,3;
;Bens e serviços diversos;5,4;
Outubro de 2001;Total;4,4;
;Produtos alimentares e bebidas não alcoólicas;6,5;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,1;
;Saúde;3,4;
;Transportes;5;
;Comunicações;-2,7;
;Lazer, recreação e cultura;2,8;
;Educação;5;
;Restaurantes e hotéis;4,1;
;Bens e serviços diversos;5,4;
Setembro de 2001;Total;4,3;
;Produtos alimentares e bebidas não alcoólicas;6,3;
;Bebidas alcoólicas e tabaco;2,6;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3;
;Saúde;3,3;
;Transportes;5,1;
